Entity ID: switch.driveway_cam_motion_detection, State: on
Entity ID: switch.garage_cam_motion_detection, State: on
Entity ID: lock.sky_floor_lock, State: unlocked
Entity ID: update.aqara_motion_sensors_update, State: off
Entity ID: update.ios_theme_based_on_the_system_wide_light_and_dark_mode_ui_update, State: off
Entity ID: update.ios_themes_dark_mode_and_light_mode_update, State: off
Entity ID: update.rgb_light_card_update, State: off
Entity ID: update.lightener_update, State: off
Entity ID: sensor.ble_temperature_c204ac028b14, State: unknown
Entity ID: sensor.ble_temperature_c204ac052b6f, State: unknown
Entity ID: sensor.ble_temperature_c204ac072ec5, State: unknown
Entity ID: binary_sensor.kitchen_sensor_motion, State: off
Entity ID: fan.smart_ceiling_fan, State: on
Entity ID: light.kitchen_ceiling_1, State: off
Entity ID: light.dining_room_light_1, State: off
Entity ID: light.dining_room_light_2, State: off
Entity ID: light.bar_light_1, State: off
Entity ID: light.bar_light_2, State: off
Entity ID: light.stove_light_2, State: off
Entity ID: light.kitchen_ceiling_2, State: off
Entity ID: light.balcony_lights, State: off
Entity ID: light.led_lights, State: on
Entity ID: light.strip_tease_lights, State: off
Entity ID: light.stove_light_1, State: off
Entity ID: light.kitchen_sink_light, State: off
Entity ID: light.hallway_light_2, State: unavailable
Entity ID: light.hallway_light_3, State: unavailable
Entity ID: light.hallway_light_1, State: unavailable
Entity ID: light.smart_ceiling_fan, State: off
Entity ID: light.smart_ceiling_fan_light_2, State: off
Entity ID: light.office_ceiling_light, State: unavailable
Entity ID: light.strip_lights_rgbcw_wi_fi_bluetooth_le_vdevo, State: off
Entity ID: switch.the_poopinator_night_light_mode, State: off
Entity ID: switch.the_poopinator_panel_lockout, State: off
Entity ID: lock.back_door, State: unlocked
Entity ID: lock.front_door, State: locked
Entity ID: light.smart_humidifier_2205066248229164110148e1e991d923, State: unavailable
Entity ID: light.smart_humidifier_2205066248229164110148e1e991d923_dnd, State: unavailable
Entity ID: light.smart_switch_2203300572772851080348e1e98de408_dnd, State: off
Entity ID: light.smart_switch_2203301211256651080348e1e98de7d4_dnd, State: off
Entity ID: light.smart_switch_2104297189017790850348e1e96f1746_dnd, State: unavailable
Entity ID: light.smart_switch_2203300218699551080348e1e98de798_dnd, State: off
Entity ID: light.garage_door_meross_dnd, State: on
Entity ID: light.smart_switch_2104296754554590850348e1e96ef73b_dnd, State: on
Entity ID: sensor.curtain_light_level, State: 1
Entity ID: sensor.wyze_lock_area, State: Balcony
Entity ID: sensor.wyze_lock_distance, State: 2.6
Entity ID: device_tracker.wyze_lock_bermuda_tracker, State: home
Entity ID: lock.front_door_august_smart_lock, State: locked
Entity ID: lock.garage_bolt_lock_mechanism, State: unlocked
Entity ID: binary_sensor.curtain_2_3_3f53c4_w070160x_lightlevel, State: unknown
Entity ID: sensor.climate, State: 1
Entity ID: sensor.fans, State: 1
Entity ID: sensor.lights, State: 60
Entity ID: sensor.locks, State: 5
Entity ID: binary_sensor.amcrest_r_motionsensor, State: on
Entity ID: binary_sensor.balcony_cam_motionsensor, State: unknown
Entity ID: binary_sensor.driveway_cam_motionsensor, State: off
Entity ID: binary_sensor.balcony_cam_smart_motion_sensor_motionsensor, State: unknown
Entity ID: binary_sensor.front_door_cam_smart_motion_sensor_motionsensor, State: unknown
Entity ID: binary_sensor.ip4m_1041b_motionsensor, State: on
Entity ID: binary_sensor.driveway_cam_smart_motion_sensor_motionsensor, State: unknown
Entity ID: binary_sensor.ip4m_1041b_motionsensor_2, State: on
Entity ID: binary_sensor.amcrest_camera_motionsensor, State: on
Entity ID: binary_sensor.driveway_cam_motionsensor_2, State: on
Entity ID: binary_sensor.driveway_cam_smart_motion_sensor_motionsensor_2, State: unknown
Entity ID: binary_sensor.balcony_cam_smart_motion_sensor_motionsensor_2, State: unknown
Entity ID: binary_sensor.front_door_cam_smart_motion_sensor_motionsensor_2, State: unknown
Entity ID: binary_sensor.garage_r_motionsensor, State: on
Entity ID: binary_sensor.garage_r_motionsensor_2, State: on
Entity ID: binary_sensor.garage_cam_motionsensor, State: on
Entity ID: binary_sensor.front_door_cam_motionsensor, State: on
Entity ID: binary_sensor.driveway_cam_motionsensor_3, State: on
Entity ID: binary_sensor.balcony_cam_motionsensor_2, State: on
Entity ID: binary_sensor.front_door_cam_smart_motion_sensor_motionsensor_3, State: unknown
Entity ID: binary_sensor.balcony_cam_motionsensor_3, State: on
Entity ID: binary_sensor.garage_r_motionsensor_3, State: on
Entity ID: binary_sensor.front_door_cam_motionsensor_2, State: on
Entity ID: binary_sensor.garage_cam_motionsensor_2, State: on
Entity ID: binary_sensor.driveway_cam_motionsensor_4, State: on
Entity ID: automation.unlock_front_door_madison, State: on
Entity ID: automation.kitchen_lights_automation, State: off
Entity ID: automation.master_bathroom_light_off, State: off
Entity ID: automation.turn_on_desk_light_when_mac_is_used, State: on
Entity ID: automation.front_porch_light_on, State: off
Entity ID: automation.turn_off_front_porch_light, State: off
Entity ID: automation.notify_when_front_porch_cam_detects_motion, State: on
Entity ID: automation.kitchen_light_presence, State: off
Entity ID: automation.driveway_motion, State: off
Entity ID: automation.garage_light_control_based_on_device_proximity, State: off
Entity ID: automation.kitchen_light_presence_2, State: off
Entity ID: automation.bathroom_light_on, State: off
Entity ID: automation.bathroom_light_off, State: off
Entity ID: automation.bathroom_light_automation, State: off
Entity ID: automation.front_porch_light_control, State: off
Entity ID: automation.front_porch_light_control_v2, State: on
Entity ID: automation.kitchen_light_presence_v2, State: on
Entity ID: automation.nest_ip_motion_sensor, State: off
Entity ID: automation.turn_on_lights_when_entering_room_at_night, State: off
Entity ID: automation.turn_off_lights_when_leaving_room, State: off
Entity ID: automation.dim_lights_during_late_evening, State: off
Entity ID: climate.atmosphere, State: off
Entity ID: sensor.atmosphere_temperature, State: 65.5
Entity ID: switch.star_lights_mss110_main_channel, State: off
Entity ID: switch.star_lights_mss110_do_not_disturb, State: off
